Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,57,57.3,55.05,55.95,54.48,1758833
2020-09-30,59.4,59.65,56,56.4,54.92,1535984
2020-09-29,58.2,59.8,57.15,59.15,57.6,2322311
2020-09-28,59,59.85,57,57.8,56.28,2147721
2020-09-25,56.6,58.85,55.2,57.95,56.43,1069072
2020-09-24,56.6,56.75,55.5,56,54.53,1642574
2020-09-23,57.3,58.1,56.95,57.25,55.75,1013907
2020-09-22,56.5,57.75,56.1,57.05,55.55,2079678
2020-09-21,60.8,60.8,56.2,57.5,55.99,2392552
2020-09-18,59.5,61.5,58.95,60.9,59.3,2884272
2020-09-17,58.45,60.35,57.6,59,57.45,943925
2020-09-16,60.7,60.8,58.4,58.55,57.01,1301003
2020-09-15,57,60.4,57,59.45,57.89,1597911
2020-09-14,59.5,59.7,55.5,56.9,55.4,2409030
2020-09-11,61.05,61.05,58.2,58.75,57.21,4096962
2020-09-10,58.5,61,58.5,60.65,59.06,2179055
2020-09-09,58,58.7,57.25,58.35,56.82,1677286
2020-09-08,61.95,62,58.4,59,57.45,2514405
2020-09-07,59.4,62,58,61.35,59.74,4991044
2020-09-04,58.2,59.65,57.25,58.95,57.4,8938639
2020-09-03,59.35,61.4,59.1,60.3,58.72,4951066
2020-09-02,56.35,59,56,58.75,57.21,9535555
2020-09-01,55.45,56.4,54,55.3,53.85,6486419
2020-08-31,56.3,57.6,54,54.75,53.31,3728831
2020-08-28,56,56.8,55.2,55.85,54.38,2185568
2020-08-27,56.5,57.15,55,55.75,54.29,2036067
2020-08-26,58.15,58.6,56.65,56.85,55.36,1445222
2020-08-25,57.5,58.2,56.6,57.65,56.14,1928586
2020-08-24,58.3,58.75,56.65,56.9,55.4,1398691
2020-08-21,57.6,58.8,56.6,57.8,56.28,4785458
2020-08-20,56.9,59.9,56.25,57.1,55.6,6637327
2020-08-19,56.2,57.6,55.7,57.05,55.55,1369135
2020-08-18,57.8,58.1,55,55.85,54.38,2188626
2020-08-17,56.7,58.4,56.25,57.4,55.89,3355907
2020-08-14,54.4,59.2,54,56.05,54.58,8473679
2020-08-13,51.1,54.7,51,53.9,52.48,6045646
2020-08-12,50.3,51.4,49.65,50.9,49.56,1347410
2020-08-11,51,52,50.2,50.45,49.12,1911191
2020-08-10,48.7,51.4,48.5,50.85,49.51,3568333
2020-08-07,45.6,50.65,44.75,48.1,46.84,17345329
2020-08-06,46.2,46.2,45.55,45.6,44.4,683499
2020-08-05,46.6,46.6,45.85,45.9,44.69,1418912
2020-08-04,45.6,46.4,45.6,46.05,44.84,588923
2020-08-03,46.1,47.9,45.45,45.6,43.43,1735293
2020-07-31,46.4,47.5,45.5,45.9,43.71,1870847
2020-07-30,47.35,47.35,45.8,46.05,43.86,432994
2020-07-29,45.45,47.4,45,46.95,44.71,855881
2020-07-28,45.3,45.45,44.8,45.1,42.95,396232
2020-07-27,45.55,45.8,44.9,45.05,42.9,339770
2020-07-24,46.05,46.75,45.35,45.5,43.33,324722
2020-07-23,46,47.3,46,46.65,44.43,429794
2020-07-22,46.4,46.55,44.8,45.9,43.71,975187
2020-07-21,47.35,47.6,46.5,46.6,44.38,561548
2020-07-20,46.45,47.7,46.2,47.15,44.9,1683780
2020-07-17,44,46,43.9,45.6,43.43,1037623
2020-07-16,44.1,44.3,43,43.6,41.52,780718
2020-07-15,44.5,46.25,43.35,43.95,41.86,1041634
2020-07-14,45.5,45.5,44.05,44.5,42.38,819290
2020-07-13,46.5,46.65,45,45.75,43.57,886949
2020-07-10,47,47.55,45.7,46.1,43.9,804956
2020-07-09,47.85,47.9,47.1,47.25,45,760963
2020-07-08,48.3,49.1,46.7,47.05,44.81,1008378
2020-07-07,48.9,49.75,48,48.3,46,973009
2020-07-06,49.1,49.8,48.45,48.9,46.57,918507
2020-07-03,50.65,50.75,48.7,48.95,46.62,1054729
2020-07-02,49.4,50.95,48.9,50.35,47.95,2603967
2020-07-01,47.4,49.85,47.35,48.85,46.52,6197202
2020-06-30,47.6,48.55,46.95,47.15,44.9,1823962
2020-06-29,48,48.95,46.55,47.85,45.57,1252640
2020-06-26,49.95,50.3,48.5,48.75,46.43,1338166
2020-06-25,48.9,50.55,48.1,49.5,47.14,2126499
2020-06-24,51.7,52.5,49,49.2,46.86,2898231
2020-06-23,50.6,51.95,49.65,51.35,48.9,5333125
2020-06-22,48.25,51.3,47.95,50.4,48,7234707
2020-06-19,48.15,48.6,47.8,47.9,45.62,2393155
2020-06-18,47.75,48.6,47.5,47.75,45.48,1589110
2020-06-17,47.75,49.3,47.5,47.65,45.38,4036101
2020-06-16,46.75,48.6,46.5,48.15,45.86,4245767
2020-06-15,48,49.5,45.9,46.25,44.05,4247375
2020-06-12,44.25,48.7,44.25,48.1,45.81,5410577
2020-06-11,47.15,48.7,46.65,47.1,44.86,2123098
2020-06-10,47.1,48.8,46.55,47.25,45,7571188
2020-06-09,46.45,47.75,45.7,46.85,44.62,7761011
2020-06-08,46,47.5,45,45.8,43.62,5592046
2020-06-05,42.25,45.05,42.25,44.3,42.19,8146810
2020-06-04,43,43.6,41.8,42.05,40.05,1663758
2020-06-03,46,46.65,42.8,43.2,41.14,3983957
2020-06-02,41.35,45.4,41.25,45,42.86,6112011
2020-06-01,40.55,41.6,40.55,41.1,39.14,1365207
2020-05-29,40.3,40.65,39.65,40.05,38.14,3320758
2020-05-28,41.15,41.9,40.5,40.7,38.76,1171498
2020-05-27,39.25,41.3,38.9,40.9,38.95,6876713
2020-05-26,39.85,39.95,39.1,39.2,37.33,812461
2020-05-22,40.6,40.6,39.1,39.25,37.38,912110
2020-05-21,41.9,41.9,40,40.15,38.24,2423098
2020-05-20,40.05,43,39.8,40.7,38.76,5196221
2020-05-19,40,40.15,38.5,39.15,37.29,735671
2020-05-18,40.45,40.5,38.7,39.55,37.67,702877
2020-05-15,40.4,40.4,39.3,39.6,37.71,613339
