Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,230.1,236.5,229,230.25,225.27,40382575
2021-12-10,226.4,229.9,225.4,228,223.07,26363105
2021-12-09,229.9,230.9,226.8,227.7,222.78,23516676
2021-12-08,228,230.8,227,229.4,224.44,30348053
2021-12-07,224,227.75,222.75,226.45,221.55,36287629
2021-12-06,225.6,226.6,220.1,220.85,216.07,34399066
2021-12-03,226.8,228.3,224.35,225.6,220.72,48145736
2021-12-02,230.45,230.45,221.2,226.4,221.5,78572738
2021-12-01,220,227.3,215,225.2,220.33,67127202
2021-11-30,221.95,228.25,213.1,216.8,212.11,222571262
2021-11-29,226,226.75,213.25,218.65,213.92,83187881
2021-11-26,238,240.3,225.75,227.35,222.43,80108784
2021-11-25,239.45,244.4,234,242.8,237.55,51777691
2021-11-24,240,246.7,237.3,238.55,233.39,67847218
2021-11-23,223.95,238,222.2,236.95,231.83,61158286
2021-11-22,238.4,238.4,224,227.65,222.73,62459802
2021-11-18,250.4,252.05,232.45,237.1,231.97,82052417
2021-11-17,244.5,252.5,243,249.9,244.5,58883464
2021-11-16,242.15,247.65,241.5,244.5,239.21,47776299
2021-11-15,241.85,244,239.3,241.65,236.42,32578602
2021-11-12,242,242.4,236,239.85,234.66,42038250
2021-11-11,237.5,241.3,235.55,239.75,234.57,50433666
2021-11-10,241.4,241.4,236.3,237,231.87,47845906
2021-11-09,235,247.95,234.65,241.9,236.67,103894620
2021-11-08,233,235.65,228.75,234.55,229.48,53880144
2021-11-04,231.8,233.15,230.6,231.35,226.35,14860447
2021-11-03,230,230.9,226.2,228.8,223.85,49974804
2021-11-02,228,235,227.25,228.5,223.56,91597155
2021-11-01,219.95,225.2,214.4,222.95,218.13,59687720
2021-10-29,210.5,217.7,201.4,214.3,209.67,115032835
2021-10-28,224.8,224.8,216.6,218,213.29,64733467
2021-10-27,231.5,232.7,222.7,224.25,219.4,78577000
2021-10-26,215.05,232.3,214.25,225.3,220.43,113036438
2021-10-25,224.6,224.9,208,213.6,208.98,92057542
